donation_year,donor_name,donor_city,donor_province,donation_amount,donation_in_kind,charity_link,charity_name,charity_type,charity_sub_category,charity_description,charity_registration_number,charity_website,charity_country,charity_province,charity_city,charity_employee_range
2021,DAAT CHARITABLE FOUNDATION,TORONTO,ON,"200,000",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,BINAH CHARITABLE FOUNDATION,TORONTO,ON,"100,000",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,SILVER FAMILY CHARITABLE FOUNDATION,TORONTO,ON,"100,000",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,THE AMAYN CHARITABLE FOUNDATION,TORONTO,ON,"29,600",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,HATZOLAS YISROEL D'ARIZAL,MOUNT ROYAL,QC,"24,563",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,ISRAEL KOSCHITZKY FAMILY CHARITABLE FOUNDATION,CALGARY,AB,"16,350",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,Jewish Foundation of Greater Toronto,TORONTO,ON,"10,800",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,UNITED JEWISH APPEAL OF GREATER TORONTO,TORONTO,ON,"7,114",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,MESSORAH TZEDAKAH FOUNDATION,TORONTO,ON,"5,000",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
2021,BESSIN FAMILY FOUNDATION,NORTH YORK,ON,"3,300",0,https://www.charitydata.ca/charity/camp-moshava/889273645RR0001/,CAMP MOSHAVA,Advancement of Education,Educational organizations not elsewhere categorized / Other,Charitable Organization,889273645RR0001,n/a,CA,Ontario,NORTH YORK,2
